bugid,title,sen,tid,sid,ann,mylabel,rulelabel
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," And I also find that it's not just in Firefox, it's all over OSX.",3,2,0,0,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", I wonder how much of this is us vs. odd timings causing misreads of the trackpad by OSX.,3,3,0,2,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", I think I've never accidentally switched tab because of rotate gesture.,4,1,2,2,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", Actually I'd probably decrease the default threshold for tab switching.,4,2,0,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", I've triggered zoom repeatedly too; ,5,1,2,2,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", usually I fix it right away but a quick browse though content-prefs.sqlite shows ~20 sites with zoom settings that I didn't know were set.,5,2,1,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," That's probably because zoom is a subtle effect (for 1 step, relative to the distraction that an accidental tab switch causes).",5,3,1,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," While playing with different browser.gesture.twist settings, I've found twisting through tabs often resulted in triggering a zoom. ",5,4,2,0,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," Probably because a twist is a very awkward gesture to make, especially if it's more than a quarter-turn... ",5,5,0,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," Around that point, my fingers want to spread or join, and that ends up read as a pinch. ",5,6,0,0,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," I guess that's part of why I'm not really fond of this gesture, and would just as soon turn it off.",5,7,0,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," I'll try running with a threshold of 40, but I suspect there's an unavoidable conflict between making it easy to use on purpose, yet hard to invoke accidentally.",5,8,1,5,PROBLEM DISCOVERY
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," I've been using swipe left/right to change tabs and cmd-left/right to go back/forward, but I do have rotate as change tabs as well and I haven't accidentally triggered it.",6,1,1,2,INFORMATION GIVING
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", Maybe it's your rotating technique ;) ,6,2,0,2,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", I'm right handed and I position my index finger at 7oclock and ring finger at 1oclock. ,6,3,0,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", To rotate right I end up at 8/2oclocks.,6,4,0,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", The first time I came into contact with tab switching via gesture was accidentally. ,7,1,1,2,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," I wasn't sure what happened, I just appeared on another tab and couldn't figure out why. ",7,2,1,2,PROBLEM DISCOVERY
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", The tab-switching gesture right now isn't obvious and feels unexpected when I hit it.,7,3,3,2,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," Mardak: the way you've written this code, disabling the gesture is a pref-flip, right?",8,1,0,3,OPINION ASKING
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," Blocking here for decision and mulling, will probably take it though.",8,2,0,2,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," Yup, should be able to just unset the default value for the twist prefs:",9,1,1,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," -pref(\""browser.gesture.twist.right\"", \""Browser:NextTab\"");",9,2,0,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," -pref(\""browser.gesture.twist.left\"", \""Browser:PrevTab\"");",9,3,0,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," Would setting the value to empty-string (\""\"") work, or something similar? ",10,1,0,3,INFORMATION GIVING
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", It would be nice to leave the prefs visible for those who want to use them.,10,2,0,5,FEATURE REQUEST
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", Since this is now implemented on Win7 with Multitouch screens please be sure not to disable it for Windows.,11,1,2,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", (In reply to comment #10),12,1,0,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", &gt; Since this is now implemented on Win7 with Multitouch screens please be sure not to disable it for Windows.,12,2,1,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", Fine by me; though I'd be a bit wary of having Windows users hit the same problem with multitouch trackpads...,12,3,2,2,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," But Rob says such hardware/drivers doesn't exist today, so it shouldn't be a common problem.",12,4,1,2,PROBLEM DISCOVERY
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," We should keep on eye out for problems with issues on touchscreens, andt from Rob demoing it on his touchscreen it would appear harder to trigger. ",12,5,0,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", And maybe Windows 7 is just better at discriminating between gestures.,12,6,0,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", OTOH it wouldn't be a big deal to just disable it globally. ,12,7,0,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," Safari doesn't use it, and Rob confirmed that IE doesn't use it on Windows 7.",12,8,0,2,INFORMATION GIVING
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," This bug is just rotate, but do we want to consider pinching too?",13,1,1,3,PROBLEM DISCOVERY
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," If we take those out, we'll have swipe up/down as jump to top/bottom and swipe left/right as back/forward by default.",13,2,0,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", (In reply to comment #12),14,1,0,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," &gt; This bug is just rotate, but do we want to consider pinching too?",14,2,0,4,PROBLEM DISCOVERY
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", Maybe; it certainly has been noted that people are accidentally hitting that gesture too. ,14,3,0,2,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," Though I think it's a separate decision: rotate is an unnatural gesture for switching tabs (nothing else uses it this way), with a high penalty for accidentally triggering. ",14,4,0,2,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," Pinching is a natural gesture for page zoom (and more widely used/known), with a low penalty for accidentally triggering. ",14,5,1,0,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," I think most people would consider it a bug if we claimed to support multitouch, but pinch didn't do anything.",14,6,1,2,PROBLEM DISCOVERY
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," So, I'd strongly lean towards only removing the rotate. Pinchy would've wanted it this way.",14,7,2,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", (In reply to comment #12),15,1,0,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," &gt; This bug is just rotate, but do we want to consider pinching too?",15,2,0,4,PROBLEM DISCOVERY
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", &gt; ,15,3,0,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," &gt; If we take those out, we'll have swipe up/down as jump to top/bottom and swipe left/right as back/forward by default.",15,4,0,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", pinch should definitely be left on for win7.,15,5,0,5,FEATURE REQUEST
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", Tracking is turned off so you get a nice zoom in/zoom out effect. ,15,6,0,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", It's also nearly impossible to trigger without a definitive pinch with two fingers on the screen.,15,7,0,2,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," If you want to consider disabling pinch, please file a separate bug, do not conflate. ",16,1,1,5,INFORMATION GIVING
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," FWIW, I'm not nearly as keen on disabling that one, and am fairly-to-surely likely to WONTFIX such a bug.",16,2,0,2,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", But go ahead ... try me ;) ,16,3,0,6,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", Created an attachment (id=376850) [details],17,1,0,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", v1,17,2,0,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", Don't do anything on os x when twisting.,17,3,1,5,INFORMATION GIVING
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," Alternatively, have people tried upping the threshold for twist? ",17,4,1,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", It would make it less likely to accidentally trigger.,17,5,1,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", But I just noticed something interesting in os x's gesture detection.,17,6,1,2,SOLUTION PROPOSAL
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," - If I use 2 hands (1 finger each) and place one at the top and one at the bottom, moving the top finger registers as a normal mouse move while moving the bottom finger is registered as a twist.",17,7,1,0,INFORMATION GIVING
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", I suppose the heuristic there is to assume the top finger is used for scrolling.,17,8,1,0,INFORMATION GIVING
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," - Also, if your fingers are too close to the edge, it won't treat it as a rotate. But you can still move the pointer from the edge.",17,9,1,0,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", Can we get the patch reviewed - I think we want to remove the rotate gesture on both Windows and OSX.,18,1,3,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", Created an attachment (id=378424) [details],19,1,0,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", v2,19,2,0,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", both Windows and OSX.,19,3,0,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", (From update of attachment 378424 [details]),20,1,0,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", uir+r=beltzner,20,2,0,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", http://hg.mozilla.org/mozilla-central/rev/d19424342b43,21,1,0,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs"""," Give empty commands for twist gestures, so they do nothing, but still show up as prefs in about:config.",21,2,1,5,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", http://hg.mozilla.org/releases/mozilla-1.9.1/rev/3329a3997d7b,22,1,0,4,NO
3,"""(491925) Firefox - Disable multitouch \""rotate\"" gesture for cycling tabs""", Verified fixed on trunk and 1.9.1 with builds on OS X and Windows like:,23,1,1,4,NO
